"","unique_id","area","distid","obs_year","carbon","cbi"
"1",141653,"ref_region",47509,2015,92,NA
"2",141653,"ref_region",47509,2016,92.5,NA
"3",141653,"ref_region",47509,2017,93,NA
"4",141653,"ref_region",47509,2018,93.5,NA
"5",141653,"ref_region",47509,2019,95,NA
"6",141653,"ref_region",47509,2020,97,NA
"7",141653,"ref_region",47509,2021,98,NA
"8",141653,"ref_region",47509,2022,99.5,NA
"9",141653,"ref_region",47509,2023,108.5,NA
"10",434817,"ref_region",47509,2015,109,NA
"11",434817,"ref_region",47509,2016,111,NA
"12",434817,"ref_region",47509,2017,107.5,NA
"13",434817,"ref_region",47509,2018,104,1.92824387550354
"14",434817,"ref_region",47509,2019,72,NA
"15",434817,"ref_region",47509,2020,58,NA
"16",434817,"ref_region",47509,2021,56,NA
"17",434817,"ref_region",47509,2022,67.5,NA
"18",434817,"ref_region",47509,2023,71,NA
"19",2040217,"ref_region",47509,2015,81,NA
"20",2040217,"ref_region",47509,2016,79,NA
"21",2040217,"ref_region",47509,2017,82,NA
"22",2040217,"ref_region",47509,2018,84,NA
"23",2040217,"ref_region",47509,2019,87,NA
"24",2040217,"ref_region",47509,2020,92.5,NA
"25",2040217,"ref_region",47509,2021,94.5,NA
"26",2040217,"ref_region",47509,2022,96,NA
"27",2040217,"ref_region",47509,2023,94,NA
"28",2779256,"ref_region",47509,2015,90.5,NA
"29",2779256,"ref_region",47509,2016,88.5,NA
"30",2779256,"ref_region",47509,2017,89,NA
"31",2779256,"ref_region",47509,2018,89,NA
"32",2779256,"ref_region",47509,2019,86.5,NA
"33",2779256,"ref_region",47509,2020,86.5,NA
"34",2779256,"ref_region",47509,2021,48.5,2.95854902267456
"35",2779256,"ref_region",47509,2022,35.5,NA
"36",2779256,"ref_region",47509,2023,14,NA
"37",3021344,"ref_region",47509,2015,109.5,NA
"38",3021344,"ref_region",47509,2016,99.5,NA
"39",3021344,"ref_region",47509,2017,98.5,NA
"40",3021344,"ref_region",47509,2018,93.5,NA
"41",3021344,"ref_region",47509,2019,92.5,NA
"42",3021344,"ref_region",47509,2020,92.5,NA
"43",3021344,"ref_region",47509,2021,26,2.67862868309021
"44",3021344,"ref_region",47509,2022,41,NA
"45",3021344,"ref_region",47509,2023,59,NA
"46",3397007,"ref_region",47509,2015,97.5,NA
"47",3397007,"ref_region",47509,2016,95,NA
"48",3397007,"ref_region",47509,2017,97.5,NA
"49",3397007,"ref_region",47509,2018,98,NA
"50",3397007,"ref_region",47509,2019,104,NA
"51",3397007,"ref_region",47509,2020,105.5,NA
"52",3397007,"ref_region",47509,2021,81,2.16580629348755
"53",3397007,"ref_region",47509,2022,40.5,NA
"54",3397007,"ref_region",47509,2023,31.5,NA
"55",5122324,"ref_region",47509,2015,109,NA
"56",5122324,"ref_region",47509,2016,96.5,NA
"57",5122324,"ref_region",47509,2017,97,NA
"58",5122324,"ref_region",47509,2018,98,NA
"59",5122324,"ref_region",47509,2019,101,NA
"60",5122324,"ref_region",47509,2020,101.5,NA
"61",5122324,"ref_region",47509,2021,44,2.98112869262695
"62",5122324,"ref_region",47509,2022,36,NA
"63",5122324,"ref_region",47509,2023,22,NA
"64",5624830,"ref_region",47509,2015,94,NA
"65",5624830,"ref_region",47509,2016,91,NA
"66",5624830,"ref_region",47509,2017,91.5,NA
"67",5624830,"ref_region",47509,2018,93,NA
"68",5624830,"ref_region",47509,2019,94.5,NA
"69",5624830,"ref_region",47509,2020,94.5,NA
"70",5624830,"ref_region",47509,2021,98.5,1.01767468452454
"71",5624830,"ref_region",47509,2022,101,NA
"72",5624830,"ref_region",47509,2023,102,NA
"73",5926943,"ref_region",47509,2015,70.5,NA
"74",5926943,"ref_region",47509,2016,78,NA
"75",5926943,"ref_region",47509,2017,80,NA
"76",5926943,"ref_region",47509,2018,82.5,NA
"77",5926943,"ref_region",47509,2019,86,NA
"78",5926943,"ref_region",47509,2020,88,NA
"79",5926943,"ref_region",47509,2021,16,2.87065315246582
"80",5926943,"ref_region",47509,2022,30.5,NA
"81",5926943,"ref_region",47509,2023,29.5,NA
"82",6736500,"ref_region",47509,2015,69,NA
"83",6736500,"ref_region",47509,2016,68,NA
"84",6736500,"ref_region",47509,2017,68,NA
"85",6736500,"ref_region",47509,2018,66,NA
"86",6736500,"ref_region",47509,2019,66,NA
"87",6736500,"ref_region",47509,2020,66,NA
"88",6736500,"ref_region",47509,2021,21.5,2.74258708953857
"89",6736500,"ref_region",47509,2022,44,NA
"90",6736500,"ref_region",47509,2023,46.5,NA
"91",8105825,"ref_region",47509,2015,68,NA
"92",8105825,"ref_region",47509,2016,65.5,NA
"93",8105825,"ref_region",47509,2017,65.5,NA
"94",8105825,"ref_region",47509,2018,67.5,NA
"95",8105825,"ref_region",47509,2019,70.5,NA
"96",8105825,"ref_region",47509,2020,72.5,NA
"97",8105825,"ref_region",47509,2021,73.5,NA
"98",8105825,"ref_region",47509,2022,84.5,NA
"99",8105825,"ref_region",47509,2023,90,NA
"100",8221417,"ref_region",47509,2015,93.5,NA
"101",8221417,"ref_region",47509,2016,96.5,NA
"102",8221417,"ref_region",47509,2017,97,NA
"103",8221417,"ref_region",47509,2018,98,NA
"104",8221417,"ref_region",47509,2019,98,NA
"105",8221417,"ref_region",47509,2020,99,NA
"106",8221417,"ref_region",47509,2021,99.5,NA
"107",8221417,"ref_region",47509,2022,100,NA
"108",8221417,"ref_region",47509,2023,103,NA
"109",10664243,"ref_region",47509,2015,89,NA
"110",10664243,"ref_region",47509,2016,98.5,NA
"111",10664243,"ref_region",47509,2017,98.5,NA
"112",10664243,"ref_region",47509,2018,98.5,NA
"113",10664243,"ref_region",47509,2019,97.5,NA
"114",10664243,"ref_region",47509,2020,98,NA
"115",10664243,"ref_region",47509,2021,102,NA
"116",10664243,"ref_region",47509,2022,100.5,NA
"117",10664243,"ref_region",47509,2023,100.5,NA
"118",11287124,"ref_region",47509,2015,83,NA
"119",11287124,"ref_region",47509,2016,95,NA
"120",11287124,"ref_region",47509,2017,92.5,NA
"121",11287124,"ref_region",47509,2018,86.5,NA
"122",11287124,"ref_region",47509,2019,91,NA
"123",11287124,"ref_region",47509,2020,86,NA
"124",11287124,"ref_region",47509,2021,98.5,NA
"125",11287124,"ref_region",47509,2022,97,NA
"126",11287124,"ref_region",47509,2023,89.5,NA
"127",14902955,"ref_region",47509,2015,72.5,NA
"128",14902955,"ref_region",47509,2016,71,NA
"129",14902955,"ref_region",47509,2017,71.5,NA
"130",14902955,"ref_region",47509,2018,56,NA
"131",14902955,"ref_region",47509,2019,54,NA
"132",14902955,"ref_region",47509,2020,53.5,NA
"133",14902955,"ref_region",47509,2021,56,NA
"134",14902955,"ref_region",47509,2022,59.5,NA
"135",14902955,"ref_region",47509,2023,62.5,NA
"136",16625864,"ref_region",47509,2015,70.5,NA
"137",16625864,"ref_region",47509,2016,68,NA
"138",16625864,"ref_region",47509,2017,75.5,NA
"139",16625864,"ref_region",47509,2018,78.5,NA
"140",16625864,"ref_region",47509,2019,78,NA
"141",16625864,"ref_region",47509,2020,79,NA
"142",16625864,"ref_region",47509,2021,79.5,NA
"143",16625864,"ref_region",47509,2022,90,NA
"144",16625864,"ref_region",47509,2023,94,NA
"145",16749475,"ref_region",47509,2015,78.5,NA
"146",16749475,"ref_region",47509,2016,76,NA
"147",16749475,"ref_region",47509,2017,77.5,NA
"148",16749475,"ref_region",47509,2018,81,NA
"149",16749475,"ref_region",47509,2019,82.5,NA
"150",16749475,"ref_region",47509,2020,83.5,NA
"151",16749475,"ref_region",47509,2021,86.5,NA
"152",16749475,"ref_region",47509,2022,87.5,NA
"153",16749475,"ref_region",47509,2023,89,NA
"154",19643208,"ref_region",47509,2015,101.5,NA
"155",19643208,"ref_region",47509,2016,104,NA
"156",19643208,"ref_region",47509,2017,104,NA
"157",19643208,"ref_region",47509,2018,105,NA
"158",19643208,"ref_region",47509,2019,111,NA
"159",19643208,"ref_region",47509,2020,106,NA
"160",19643208,"ref_region",47509,2021,59.5,2.65212059020996
"161",19643208,"ref_region",47509,2022,56,NA
"162",19643208,"ref_region",47509,2023,42,NA
